,State,X,Y
0,Rajasthan,71,166
1,Madhya Pradesh,135,222
2,Maharashtra,94,279
3,Uttar Pradesh,168,164
4,Gujarat,41,220
5,Karnataka,95,350
6,Andhra Pradesh,146,353
7,Odisha,	235,260
8,Chhattisgarh,190,251
9,Tamil Nadu,135,410
10,Telangana,146,309
11,Bihar,245,185
12,West Bengal,270,222
13,Arunachal Pradesh,367,135
14,Jharkhand,235,220
15,Assam,344,171
16,Ladakh,126,46
17,Himachal Pradesh,124,85
18,Uttarakhand,149,108
19,Punjab,95,101
20,Haryana,109,127
21,Jammu And Kashmir,89,53
22,Kerala,110,426
23,Meghalaya,322,185
24,Manipur,365,196
25,Mizoram,349,215
26,Nagaland,372,172
27,Tripura,334,210
28,Andaman And Nicobar Islands,356,385
29,Sikkim,281,153
30,Goa,70,345
31,Delhi,119,136
32,Dadra And Nagar Haveli And Daman And Diu,61,270
33,Puducherry,158,411
34,Chandigarh,114,143
35,Lakshadweep,55,425
